No,;Time;;Time 1;Time 2;Delay;delay 1;delay 2;jitter
3;0,014075;;0,014075;0,017257;0,003182;0,003128;-0,001482;-0,00461
4;0,017257;;0,017257;0,017311;5,4E-05;-0,001482;-0,027771;-0,026289
5;0,017311;;0,017311;0,018847;0,001536;-0,027771;0,005043;0,032814
6;0,018847;;0,018847;0,048154;0,029307;0,005043;0,024214;0,019171
7;0,048154;;0,048154;0,072418;0,024264;0,024214;-0,000312;-0,024526
8;0,072418;;0,072418;0,072468;5E-05;-0,000312;0,000362;0,000674
9;0,072468;;0,072468;0,07283;0,000362;0,000362;-4,1E-05;-0,000403
10;0,07283;;0,07283;0,07283;0;-4,1E-05;-0,000306;-0,000265
11;0,07283;;0,07283;0,072871;4,1E-05;-0,000306;0,000346;0,000652
12;0,072871;;0,072871;0,073218;0,000347;0,000346;-3,1E-05;-0,000377
13;0,073218;;0,073218;0,073219;1E-06;-3,1E-05;-0,009895;-0,009864
14;0,073219;;0,073219;0,073251;3,2E-05;-0,009895;-0,019404;-0,009509
15;0,073251;;0,073251;0,083178;0,009927;-0,019404;0,029277;0,048681
16;0,083178;;0,083178;0,112509;0,029331;0,029277;-0,002726;-0,032003
17;0,112509;;0,112509;0,112563;5,4E-05;-0,002726;0,002576;0,005302
18;0,112563;;0,112563;0,115343;0,00278;0,002576;-0,029286;-0,031862
19;0,115343;;0,115343;0,115547;0,000204;-0,029286;0,027464;0,05675
20;0,115547;;0,115547;0,145037;0,02949;0,027464;0,001989;-0,025475
21;0,145037;;0,145037;0,147063;0,002026;0,001989;-5,2E-05;-0,002041
22;0,147063;;0,147063;0,1471;3,7E-05;-5,2E-05;-0,030581;-0,030529
23;0,1471;;0,1471;0,147189;8,9E-05;-0,030581;-0,055226;-0,024645
24;0,147189;;0,147189;0,177859;0,03067;-0,055226;0,085613;0,140839
25;0,177859;;0,177859;0,263755;0,085896;0,085613;-0,003255;-0,088868
28;0,263755;;0,263755;0,264038;0,000283;-0,003255;0,003537;0,006792
29;0,264038;;0,264038;0,267576;0,003538;0,003537;-0,000105;-0,003642
31;0,267576;;0,267576;0,267577;1E-06;-0,000105;5,2E-05;0,000157
32;0,267577;;0,267577;0,267683;0,000106;5,2E-05;-0,002363;-0,002415
33;0,267683;;0,267683;0,267737;5,4E-05;-0,002363;0,000461;0,002824
34;0,267737;;0,267737;0,270154;0,002417;0,000461;-0,017283;-0,017744
35;0,270154;;0,270154;0,27211;0,001956;-0,017283;0,019238;0,036521
36;0,27211;;0,27211;0,291349;0,019239;0,019238;-0,019363;-0,038601
37;0,291349;;0,291349;0,29135;1E-06;-0,019363;0,019363;0,038726
38;0,29135;;0,29135;0,310714;0,019364;0,019363;-0,001299;-0,020662
39;0,310714;;0,310714;0,310715;1E-06;-0,001299;0,001299;0,002598
40;0,310715;;0,310715;0,312015;0,0013;0,001299;-3,8E-05;-0,001337
41;0,312015;;0,312015;0,312016;1E-06;-3,8E-05;-0,000322;-0,000284
42;0,312016;;0,312016;0,312055;3,9E-05;-0,000322;0,000361;0,000683
43;0,312055;;0,312055;0,312416;0,000361;0,000361;-0,000708;-0,001069
44;0,312416;;0,312416;0,312416;0;-0,000708;0,000707;0,001415
45;0,312416;;0,312416;0,313124;0,000708;0,000707;-4,5E-05;-0,000752
46;0,313124;;0,313124;0,313125;1E-06;-4,5E-05;-0,022892;-0,022847
47;0,313125;;0,313125;0,313171;4,6E-05;-0,022892;0,0227;0,045592
48;0,313171;;0,313171;0,336109;0,022938;0,0227;-0,000125;-0,022825
49;0,336109;;0,336109;0,336347;0,000238;-0,000125;0,000333;0,000458
50;0,336347;;0,336347;0,33671;0,000363;0,000333;4E-06;-0,000329
51;0,33671;;0,33671;0,33674;3E-05;4E-06;-0,000265;-0,000269
52;0,33674;;0,33674;0,336766;2,6E-05;-0,000265;0,000188;0,000453
53;0,336766;;0,336766;0,337057;0,000291;0,000188;7,8E-05;-0,00011
54;0,337057;;0,337057;0,33716;0,000103;7,8E-05;-0,000209;-0,000287
55;0,33716;;0,33716;0,337185;2,5E-05;-0,000209;0,000209;0,000418
56;0,337185;;0,337185;0,337419;0,000234;0,000209;-0,022178;-0,022387
57;0,337419;;0,337419;0,337444;2,5E-05;-0,022178;0,022202;0,04438
58;0,337444;;0,337444;0,359647;0,022203;0,022202;-5,5E-05;-0,022257
59;0,359647;;0,359647;0,359648;1E-06;-5,5E-05;-9E-05;-3,5E-05
60;0,359648;;0,359648;0,359704;5,6E-05;-9E-05;0,000146;0,000236
61;0,359704;;0,359704;0,35985;0,000146;0,000146;0;-0,000146
62;0,35985;;0,35985;0,35985;0;0;-1,8E-05;-1,8E-05
